price_ori,item_rating,price_actual,total_rating,total_sold,favorite,Type of product,Type of product_2,date_date,from,to,fees
50.0,4.8,35.0,152.0,278.0,690.0,women's clothing,pants & shorts,2020-11-23,overseas,kuala lumpur,0.0
33.5,5.0,32.83,6.0,10.0,39.0,women's clothing,pants & shorts,2020-11-23,overseas,kuala lumpur,0.0
75.0,4.9,35.5,55.0,105.0,283.0,women's clothing,pants & shorts,2020-11-23,overseas,kuala lumpur,0.0
49.28,5.0,33.5,48.0,94.0,156.0,women's clothing,pants & shorts,2020-11-23,overseas,kuala lumpur,0.0
65.44,5.0,65.44,1.0,3.0,52.0,women's clothing,outerwear,2020-11-23,overseas,kuala lumpur,0.0
37.9,4.6,37.9,12.0,23.0,235.0,women's clothing,pants & shorts,2020-11-23,overseas,kuala lumpur,0.0
59.9,5.0,45.9,1.0,2.0,24.0,women's clothing,pants & shorts,2020-11-23,local,kuala lumpur,0.0
28.5,4.8,19.9,38.0,56.0,336.0,women's clothing,pants & shorts,2020-11-23,overseas,kuala lumpur,0.0
22.0,4.7,22.0,793.0,1800.0,1800.0,women's clothing,pants & shorts,2020-11-23,overseas,kuala lumpur,0.0
56.37,4.0,56.37,1.0,1.0,15.0,women's clothing,outerwear,2020-11-23,overseas,kuala lumpur,0.0
79.0,4.8,79.0,81.0,155.0,688.0,women's clothing,outerwear,2020-11-23,overseas,kuala lumpur,0.0
47.16,4.9,47.16,18.0,42.0,525.0,women's clothing,set wear,2020-11-23,overseas,kuala lumpur,0.0
32.6,4.8,23.48,415.0,723.0,723.0,women's clothing,pants & shorts,2020-11-23,overseas,kuala lumpur,0.0
60.52,4.6,40.49,8.0,13.0,147.0,women's clothing,pants & shorts,2020-11-23,overseas,kuala lumpur,0.0
35.0,4.8,22.27,8600.0,19200.0,19200.0,women's clothing,pants & shorts,2020-11-23,overseas,kuala lumpur,0.0
40.24,4.9,40.24,95.0,192.0,302.0,women's clothing,pants & shorts,2020-11-23,overseas,kuala lumpur,0.0
89.9,5.0,30.0,10.0,22.0,61.0,women's clothing,outerwear,2020-11-23,local,kuala lumpur,0.0
45.9,5.0,39.94,47.0,79.0,508.0,women's clothing,outerwear,2020-11-23,local,kuala lumpur,0.0
25.9,4.9,25.9,18600.0,61100.0,61100.0,baby & toys,baby clothing,2020-11-23,overseas,kuala lumpur,0.0
